time_sec,clients,run,cpu_usr,cpu_sys,cpu_idle
826,2,2,%usr,%sys,%idle
827,2,2,100.00,0.00,0.00
829,2,2,%usr,%sys,%idle
830,2,2,100.00,0.00,0.00
832,2,2,%usr,%sys,%idle
833,2,2,100.00,0.00,0.00
835,2,2,%usr,%sys,%idle
836,2,2,100.00,0.00,0.00
838,2,2,%usr,%sys,%idle
839,2,2,100.00,0.00,0.00
841,2,2,%usr,%sys,%idle
842,2,2,100.00,0.00,0.00
844,2,2,%usr,%sys,%idle
845,2,2,100.00,0.00,0.00
847,2,2,%usr,%sys,%idle
848,2,2,100.00,0.00,0.00
850,2,2,%usr,%sys,%idle
851,2,2,100.00,0.00,0.00
853,2,2,%usr,%sys,%idle
854,2,2,100.00,0.00,0.00
856,2,2,%usr,%sys,%idle
857,2,2,100.00,0.00,0.00
859,2,2,%usr,%sys,%idle
860,2,2,100.00,0.00,0.00
862,2,2,%usr,%sys,%idle
863,2,2,100.00,0.00,0.00
865,2,2,%usr,%sys,%idle
866,2,2,100.00,0.00,0.00
868,2,2,%usr,%sys,%idle
869,2,2,100.00,0.00,0.00
871,2,2,%usr,%sys,%idle
872,2,2,100.00,0.00,0.00
874,2,2,%usr,%sys,%idle
875,2,2,100.00,0.00,0.00
877,2,2,%usr,%sys,%idle
878,2,2,100.00,0.00,0.00
880,2,2,%usr,%sys,%idle
881,2,2,100.00,0.00,0.00
883,2,2,%usr,%sys,%idle
884,2,2,100.00,0.00,0.00
886,2,2,%usr,%sys,%idle
887,2,2,100.00,0.00,0.00
889,2,2,%usr,%sys,%idle
890,2,2,100.00,0.00,0.00
892,2,2,%usr,%sys,%idle
893,2,2,100.00,0.00,0.00
895,2,2,%usr,%sys,%idle
896,2,2,100.00,0.00,0.00
897,2,3,%usr,%sys,%idle
898,2,3,92.08,0.00,7.92
900,2,3,%usr,%sys,%idle
901,2,3,100.00,0.00,0.00
903,2,3,%usr,%sys,%idle
904,2,3,100.00,0.00,0.00
906,2,3,%usr,%sys,%idle
907,2,3,100.00,0.00,0.00
909,2,3,%usr,%sys,%idle
910,2,3,100.00,0.00,0.00
912,2,3,%usr,%sys,%idle
913,2,3,100.00,0.00,0.00
915,2,3,%usr,%sys,%idle
916,2,3,100.00,0.00,0.00
918,2,3,%usr,%sys,%idle
919,2,3,100.00,0.00,0.00
921,2,3,%usr,%sys,%idle
922,2,3,100.00,0.00,0.00
924,2,3,%usr,%sys,%idle
925,2,3,100.00,0.00,0.00
927,2,3,%usr,%sys,%idle
928,2,3,100.00,0.00,0.00
930,2,3,%usr,%sys,%idle
931,2,3,100.00,0.00,0.00
933,2,3,%usr,%sys,%idle
934,2,3,100.00,0.00,0.00
936,2,3,%usr,%sys,%idle
937,2,3,100.00,0.00,0.00
939,2,3,%usr,%sys,%idle
940,2,3,100.00,0.00,0.00
942,2,3,%usr,%sys,%idle
943,2,3,100.00,0.00,0.00
945,2,3,%usr,%sys,%idle
946,2,3,100.00,0.00,0.00
948,2,3,%usr,%sys,%idle
949,2,3,100.00,0.00,0.00
951,2,3,%usr,%sys,%idle
952,2,3,100.00,0.00,0.00
954,2,3,%usr,%sys,%idle
955,2,3,100.00,0.00,0.00
957,2,3,%usr,%sys,%idle
958,2,3,100.00,0.00,0.00
960,2,3,%usr,%sys,%idle
961,2,3,100.00,0.00,0.00
963,2,3,%usr,%sys,%idle
964,2,3,100.00,0.00,0.00
966,2,3,%usr,%sys,%idle
967,2,3,100.00,0.00,0.00
969,2,3,%usr,%sys,%idle
970,2,3,100.00,0.00,0.00
972,2,3,%usr,%sys,%idle
973,2,3,100.00,0.00,0.00
975,2,3,%usr,%sys,%idle
976,2,3,100.00,0.00,0.00
978,2,3,%usr,%sys,%idle
979,2,3,100.00,0.00,0.00
981,2,3,%usr,%sys,%idle
982,2,3,100.00,0.00,0.00
984,2,3,%usr,%sys,%idle
985,2,3,100.00,0.00,0.00
987,2,3,%usr,%sys,%idle
988,2,3,100.00,0.00,0.00
990,2,3,%usr,%sys,%idle
991,2,3,100.00,0.00,0.00
993,2,3,%usr,%sys,%idle
994,2,3,100.00,0.00,0.00
996,2,3,%usr,%sys,%idle
997,2,3,100.00,0.00,0.00
999,2,3,%usr,%sys,%idle
1000,2,3,100.00,0.00,0.00
1002,2,3,%usr,%sys,%idle
1003,2,3,100.00,0.00,0.00
1005,2,3,%usr,%sys,%idle
1006,2,3,100.00,0.00,0.00
1008,2,3,%usr,%sys,%idle
1009,2,3,100.00,0.00,0.00
1011,2,3,%usr,%sys,%idle
1012,2,3,100.00,0.00,0.00
1014,2,3,%usr,%sys,%idle
1015,2,3,100.00,0.00,0.00
1017,2,3,%usr,%sys,%idle
1018,2,3,100.00,0.00,0.00
1020,2,3,%usr,%sys,%idle
1021,2,3,100.00,0.00,0.00
1023,2,3,%usr,%sys,%idle
1024,2,3,100.00,0.00,0.00
1026,2,3,%usr,%sys,%idle
1027,2,3,100.00,0.00,0.00
1029,2,3,%usr,%sys,%idle
1030,2,3,100.00,0.00,0.00
1032,2,3,%usr,%sys,%idle
1033,2,3,100.00,0.00,0.00
1035,2,3,%usr,%sys,%idle
1036,2,3,100.00,0.00,0.00
1038,2,3,%usr,%sys,%idle
1039,2,3,100.00,0.00,0.00
1041,2,3,%usr,%sys,%idle
1042,2,3,100.00,0.00,0.00
1044,2,3,%usr,%sys,%idle
1045,2,3,100.00,0.00,0.00
1047,2,3,%usr,%sys,%idle
1048,2,3,100.00,0.00,0.00
1050,2,3,%usr,%sys,%idle
1051,2,3,100.00,0.00,0.00
1053,2,3,%usr,%sys,%idle
1054,2,3,100.00,0.00,0.00
1056,2,3,%usr,%sys,%idle
1057,2,3,100.00,0.00,0.00
1059,2,3,%usr,%sys,%idle
1060,2,3,100.00,0.00,0.00
1062,2,3,%usr,%sys,%idle
1063,2,3,100.00,0.00,0.00
1065,2,3,%usr,%sys,%idle
1066,2,3,100.00,0.00,0.00
1068,2,3,%usr,%sys,%idle
1069,2,3,100.00,0.00,0.00
1071,2,3,%usr,%sys,%idle
1072,2,3,100.00,0.00,0.00
1074,2,3,%usr,%sys,%idle
1075,2,3,100.00,0.00,0.00
1076,4,1,%usr,%sys,%idle
1077,4,1,93.00,0.00,7.00
1079,4,1,%usr,%sys,%idle
1080,4,1,100.00,0.00,0.00
1082,4,1,%usr,%sys,%idle
1083,4,1,100.00,0.00,0.00
1085,4,1,%usr,%sys,%idle
1086,4,1,100.00,0.00,0.00
1088,4,1,%usr,%sys,%idle
1089,4,1,100.00,0.00,0.00
1091,4,1,%usr,%sys,%idle
1092,4,1,100.00,0.00,0.00
1094,4,1,%usr,%sys,%idle
1095,4,1,100.00,0.00,0.00
1097,4,1,%usr,%sys,%idle
1098,4,1,100.00,0.00,0.00
1100,4,1,%usr,%sys,%idle
1101,4,1,100.00,0.00,0.00
1103,4,1,%usr,%sys,%idle
1104,4,1,100.00,0.00,0.00
1106,4,1,%usr,%sys,%idle
1107,4,1,100.00,0.00,0.00
1109,4,1,%usr,%sys,%idle
1110,4,1,100.00,0.00,0.00
1112,4,1,%usr,%sys,%idle
1113,4,1,100.00,0.00,0.00
1115,4,1,%usr,%sys,%idle
1116,4,1,100.00,0.00,0.00
1118,4,1,%usr,%sys,%idle
1119,4,1,100.00,0.00,0.00
1121,4,1,%usr,%sys,%idle
1122,4,1,100.00,0.00,0.00
1124,4,1,%usr,%sys,%idle
1125,4,1,100.00,0.00,0.00
1127,4,1,%usr,%sys,%idle
1128,4,1,100.00,0.00,0.00
1130,4,1,%usr,%sys,%idle
1131,4,1,100.00,0.00,0.00
1133,4,1,%usr,%sys,%idle
1134,4,1,100.00,0.00,0.00
1136,4,1,%usr,%sys,%idle
1137,4,1,100.00,0.00,0.00
1139,4,1,%usr,%sys,%idle
