time_sec,clients,run,throughput
21,32,2,5830686
22,32,2,5307445
23,32,2,5064960
24,32,2,4776384
25,32,2,4774560
26,32,2,4773856
27,32,2,4774880
28,32,2,4775483
29,32,2,4776704
30,32,2,4774078
31,32,2,4773920
32,32,2,4775712
33,32,2,4775292
34,32,2,4777312
35,32,2,4774457
36,32,2,4773880
37,32,2,4772800
38,32,2,4770839
39,32,2,4774528
40,32,2,4775904
41,32,2,4773944
42,32,2,4775188
43,32,2,4772576
44,32,2,4775389
45,32,2,4774944
46,32,2,4776448
47,32,2,4774528
48,32,2,4775712
49,32,2,4772992
50,32,2,4775453
51,32,2,4773152
52,32,2,4775360
53,32,2,4775200
54,32,2,4776032
55,32,2,4774496
56,32,2,4777914
57,32,2,4775968
58,32,2,4776416
59,32,2,4774272
60,32,2,4775455
61,32,2,46432
1,32,3,7793854
2,32,3,8232570
3,32,3,8091680
4,32,3,7931042
5,32,3,7772472
6,32,3,7594897
7,32,3,7419474
8,32,3,7225628
9,32,3,7041311
10,32,3,7044710
11,32,3,7046600
12,32,3,6832147
13,32,3,6625954
14,32,3,6412764
15,32,3,6188928
16,32,3,5940339
17,32,3,5457344
18,32,3,4949376
19,32,3,4680800
20,32,3,4675781
21,32,3,4677458
22,32,3,4679006
23,32,3,4678208
24,32,3,4678037
25,32,3,4677760
26,32,3,4677943
27,32,3,4678208
28,32,3,4677215
29,32,3,4681408
30,32,3,4678867
31,32,3,4678970
32,32,3,4677087
33,32,3,4680511
34,32,3,4677913
35,32,3,4680064
36,32,3,4676793
37,32,3,4679232
38,32,3,4675603
39,32,3,4679776
40,32,3,4676253
41,32,3,4676746
42,32,3,4679392
43,32,3,4675040
44,32,3,4675552
45,32,3,4678176
46,32,3,4678880
47,32,3,4679872
48,32,3,4679936
49,32,3,4678008
50,32,3,4678176
51,32,3,4679704
52,32,3,4676128
53,32,3,4677088
54,32,3,4679100
55,32,3,4676832
56,32,3,4676704
57,32,3,4679168
58,32,3,4678816
59,32,3,4676480
60,32,3,4678048
61,32,3,35008
1,64,1,2451105
2,64,1,4683229
3,64,1,4705962
4,64,1,4706953
5,64,1,4706222
6,64,1,4704829
7,64,1,4704768
8,64,1,4705720
9,64,1,4705333
10,64,1,4708808
11,64,1,4705463
12,64,1,4707958
13,64,1,4706933
14,64,1,4708386
15,64,1,4704384
16,64,1,4706048
17,64,1,4704892
18,64,1,4705580
19,64,1,4704832
20,64,1,4705536
21,64,1,4707776
22,64,1,4707520
23,64,1,4705343
24,64,1,4705920
25,64,1,4705896
26,64,1,4705908
27,64,1,4704192
28,64,1,4699919
29,64,1,4701824
30,64,1,4705024
31,64,1,4705216
32,64,1,4706176
33,64,1,4706368
34,64,1,4706816
35,64,1,4706176
36,64,1,4702720
37,64,1,4703296
38,64,1,4706496
39,64,1,4701184
40,64,1,4707183
41,64,1,4706094
42,64,1,4708412
43,64,1,4704827
44,64,1,4708096
45,64,1,4705322
46,64,1,4707765
47,64,1,4706176
48,64,1,4705536
49,64,1,4703744
50,64,1,4704960
51,64,1,4704768
52,64,1,4704832
53,64,1,4704832
54,64,1,4708154
55,64,1,4706418
56,64,1,4706624
57,64,1,4706048
58,64,1,4708224
59,64,1,4707712
60,64,1,4702912
61,64,1,61760
1,64,2,2561352
2,64,2,2527485
3,64,2,2532800
4,64,2,2531392
5,64,2,2532992
6,64,2,2531776
7,64,2,2532281
8,64,2,2531393
9,64,2,2531968
